epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,477.156,1.01753,0.6382,1.02839,0.83981,0.89125,0.90102,0.53206,1.62405,1.12731,1.26965,0.0015842,0.0015842,0.0015842
44,487.003,1.0211,0.61704,1.02797,0.90112,0.82021,0.88411,0.51463,1.62028,1.15308,1.25476,0.0015743,0.0015743,0.0015743
45,496.902,0.97437,0.62857,1.01579,0.91343,0.83,0.9011,0.51792,1.61113,1.06257,1.25148,0.0015644,0.0015644,0.0015644
46,508.518,1.01388,0.63108,1.02146,0.89469,0.83,0.90376,0.51748,1.48848,1.00986,1.20757,0.0015545,0.0015545,0.0015545
47,516.893,0.97253,0.63092,1.01869,0.92277,0.83643,0.87892,0.49724,1.55622,1.16451,1.24527,0.0015446,0.0015446,0.0015446
48,530.561,0.97306,0.60381,1.01133,0.89123,0.87,0.88421,0.51288,1.48539,1.09793,1.20934,0.0015347,0.0015347,0.0015347
49,538.587,0.96044,0.60365,1.00577,0.92545,0.86893,0.92488,0.55707,1.37153,1.01634,1.17786,0.0015248,0.0015248,0.0015248
50,551.824,0.90468,0.56992,0.98546,0.914,0.85021,0.9002,0.54378,1.4424,0.94312,1.2094,0.0015149,0.0015149,0.0015149
51,560.776,0.90168,0.58347,0.99309,0.94178,0.84,0.9053,0.52317,1.53016,0.96914,1.27073,0.001505,0.001505,0.001505
52,572.443,0.89083,0.55114,0.99116,0.94663,0.91,0.94647,0.56533,1.3786,0.91484,1.19252,0.0014951,0.0014951,0.0014951
53,582.983,0.94803,0.58227,1.01221,0.9445,0.85094,0.92083,0.52765,1.50997,1.09471,1.23934,0.0014852,0.0014852,0.0014852
54,593.052,0.90793,0.5459,0.99287,0.91518,0.86323,0.91619,0.53049,1.50978,1.02893,1.24129,0.0014753,0.0014753,0.0014753
55,604.877,0.9333,0.56218,1.00545,0.89922,0.89231,0.94526,0.54796,1.47016,0.95157,1.18936,0.0014654,0.0014654,0.0014654
