epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,522.931,0.99141,0.62669,1.01641,0.89141,0.86,0.90095,0.53979,1.40771,0.8458,1.19588,0.0015842,0.0015842,0.0015842
44,532.172,0.99021,0.61419,1.02183,0.92363,0.85,0.90536,0.51578,1.43925,0.92735,1.22871,0.0015743,0.0015743,0.0015743
45,545.992,0.97292,0.62523,1.02047,0.90391,0.84,0.89835,0.51346,1.53492,0.97734,1.25379,0.0015644,0.0015644,0.0015644
46,555.314,0.98491,0.60786,1.02294,0.92802,0.90258,0.95392,0.54688,1.36785,0.78334,1.16273,0.0015545,0.0015545,0.0015545
47,569.547,0.96884,0.6328,1.0261,0.90904,0.86,0.92367,0.51851,1.45235,0.95855,1.21731,0.0015446,0.0015446,0.0015446
48,579.039,0.95371,0.58448,1.01065,0.93668,0.9,0.95899,0.57139,1.32785,0.75962,1.17119,0.0015347,0.0015347,0.0015347
49,593.394,0.91599,0.59262,1.00671,0.95437,0.85,0.90861,0.54308,1.50474,0.75684,1.24937,0.0015248,0.0015248,0.0015248
50,602.768,0.90988,0.56747,0.98749,0.92555,0.83,0.90041,0.49893,1.55668,0.81726,1.28025,0.0015149,0.0015149,0.0015149
51,616.778,0.93603,0.59571,1.00029,0.95121,0.87,0.93247,0.52928,1.5205,0.79282,1.22214,0.001505,0.001505,0.001505
52,625.812,0.90238,0.56368,0.99304,0.9104,0.92,0.95189,0.57262,1.44647,0.763,1.16924,0.0014951,0.0014951,0.0014951
53,640.449,0.87831,0.55684,0.98399,0.92327,0.9,0.96152,0.566,1.40809,0.79388,1.1631,0.0014852,0.0014852,0.0014852
54,649.406,0.91241,0.55682,0.98836,0.91671,0.9,0.94363,0.54344,1.43277,0.81823,1.22083,0.0014753,0.0014753,0.0014753
55,663.454,0.92557,0.55286,1.00758,0.96715,0.9,0.96658,0.59651,1.31697,0.70183,1.14639,0.0014654,0.0014654,0.0014654
56,673.6,0.85546,0.53655,0.97401,0.90525,0.85982,0.92666,0.52953,1.43562,0.88656,1.21095,0.0014555,0.0014555,0.0014555
57,687.458,0.8812,0.54042,0.98754,0.92895,0.82,0.89234,0.52076,1.48148,1.06405,1.20887,0.0014456,0.0014456,0.0014456
58,696.705,0.86924,0.5598,0.97926,0.96605,0.84,0.94475,0.53973,1.4223,0.77302,1.20562,0.0014357,0.0014357,0.0014357
59,711.103,0.88773,0.55385,0.98137,0.87126,0.82,0.91635,0.53145,1.45506,0.94081,1.21352,0.0014258,0.0014258,0.0014258
60,720.215,0.86112,0.52945,0.9722,0.94798,0.85,0.94103,0.56839,1.34521,0.82338,1.19405,0.0014159,0.0014159,0.0014159
61,734.181,0.83586,0.52322,0.97248,0.96623,0.88,0.95435,0.56525,1.46498,0.7524,1.21425,0.001406,0.001406,0.001406
62,743.519,0.86471,0.52415,0.96276,0.86689,0.84664,0.91079,0.52712,1.48024,0.87513,1.22446,0.0013961,0.0013961,0.0013961
63,757.89,0.85963,0.52008,0.97236,0.95054,0.83,0.92965,0.51813,1.50497,0.88822,1.22822,0.0013862,0.0013862,0.0013862
64,767.215,0.8202,0.51066,0.97854,0.87686,0.87,0.93248,0.54694,1.4755,0.98847,1.20729,0.0013763,0.0013763,0.0013763
65,781.285,0.85148,0.51411,0.98069,0.93706,0.87,0.9473,0.53314,1.58872,0.88428,1.23902,0.0013664,0.0013664,0.0013664
66,790.561,0.8294,0.5014,0.97456,0.96557,0.84124,0.96003,0.54758,1.49523,0.91234,1.21755,0.0013565,0.0013565,0.0013565
67,805.122,0.8642,0.52935,0.97931,0.90318,0.91,0.94314,0.572,1.44634,0.7511,1.21384,0.0013466,0.0013466,0.0013466
68,814.422,0.83013,0.49635,0.97822,0.91802,0.89587,0.93934,0.56256,1.42109,0.79949,1.18572,0.0013367,0.0013367,0.0013367
